ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
582715_091,73.5,11,34,52.6496,-6,10,38.249,173.7193733,-6.177291389,67,13,35.0,105.0,231.51335699999998,30.954108,206408.3601,234.450116,29.838694,211301.72600000002,232.4,27.09,2018-04-18T15:45:40.030932,236.52729784487323,29.248248593580954
583113_081,116.5,11,41,52.1533,-7,51,15.415999999999999,175.4673054,-7.854282222,159,71,72.0,212.0,233.073925,31.148013,201108.255,234.28295400000002,28.675632,207892.7396,231.9,27.43,2018-04-18T15:50:02.911775,235.20638470073783,28.949655820544574
584014_111,29.0,12,7,30.191999999999997,-7,6,3.0789999999999997,181.8758,-7.100855277999999,385,107,348.0,427.0,232.358754,29.967166,197113.6679,235.399736,28.945346999999998,197222.5527,231.3,27.9,2018-04-18T16:11:26.683614,234.32173623915173,29.641192372409815
584014_111,70.5,12,6,57.8979,-7,10,48.356,181.7412413,-7.180098889,284,167,182.0,378.0,232.358754,29.967166,197113.6679,235.399736,28.945346999999998,197222.5527,231.3,27.9,2018-04-18T16:11:26.683614,234.436547489161,29.55247416940034
584123_021,85.0,12,1,9.1085,-8,7,39.042,180.28795209999998,-8.127511667,16,280,6.0,26.0,231.833727,29.425193,201078.1212,233.968919,28.183459999999997,192807.5108,231.8,27.58,2018-04-18T16:12:29.557116,235.11730546778503,27.67124462561336
584133_021,84.5,11,58,2.5906,-8,3,2.214,179.5107942,-8.050614999999999,251,228,40.0,450.0,231.833727,29.425193,201078.1212,233.968919,28.183459999999997,192807.5108,231.8,27.58,2018-04-18T16:12:29.557116,235.75734116121126,27.152149785970906
584143_022,84.5,11,53,12.7449,-7,55,37.72,178.30310380000003,-7.927144444,164,140,45.0,290.0,231.833727,29.425193,201078.1212,233.968919,28.183459999999997,192807.5108,231.5,27.74,2018-04-18T16:12:29.557116,237.50710387680965,27.064306929007117
584315_111,70.0,12,6,36.2092,-6,24,23.875,181.65087169999998,-6.406631944,216,187,200.0,256.0,231.506375,30.680096000000002,200867.4283,235.78533,29.208655,203886.6798,232.0,27.4,2018-04-18T16:14:35.314616,235.95416287143362,29.70850231191277
584315_111,123.5,12,6,58.326,-6,16,9.798,181.743025,-6.269388332999999,285,83,191.0,371.0,231.506375,30.680096000000002,200867.4283,235.78533,29.208655,203886.6798,232.0,27.4,2018-04-18T16:14:35.314616,235.87632966647053,29.770406623024314
584324_067,77.5,12,2,28.1299,-7,17,23.719,180.6172079,-7.289921944,260,253,156.0,321.0,231.30189199999998,30.056908,207247.6423,235.513175,28.091457000000002,203869.6223,232.0,27.4,2018-04-18T16:14:35.314616,236.0448084131653,28.27725992855491
584324_068,77.0,12,1,20.0905,-7,13,25.578000000000003,180.3337104,-7.223771667,47,204,17.0,89.0,231.30189199999998,30.056908,207247.6423,235.513175,28.091457000000002,203869.6223,232.0,27.4,2018-04-18T16:14:35.314616,236.2792352679296,28.08626616556643
584332_074,58.0,11,58,29.206999999999997,-8,38,31.076,179.6216958,-8.641965556,336,67,267.0,389.0,233.722109,26.63877,200447.8946,234.55106600000002,26.490185999999998,195992.3302,232.0,27.4,2018-04-18T16:14:35.314616,236.09666026048495,26.872973236782464
584334_068,77.5,11,58,7.7784,-7,2,13.415,179.53241,-7.037059722,262,67,64.0,427.0,231.30189199999998,30.056908,207247.6423,235.513175,28.091457000000002,203869.6223,232.0,27.4,2018-04-18T16:14:35.314616,236.9366498472426,27.54362471279405
584334_091,86.0,11,58,5.3865,-7,13,38.997,179.52244380000002,-7.227499167,256,211,102.0,460.0,233.02740099999997,29.455437,199456.8018,234.709578,27.531740999999997,200775.3731,232.0,27.4,2018-04-18T16:14:35.314616,236.94477870216522,27.53684987926377
584344_092,86.5,11,54,47.0494,-7,9,50.718999999999994,178.6960392,-7.164088611,450,167,401.0,484.0,233.02740099999997,29.455437,199456.8018,234.709578,27.531740999999997,200775.3731,232.0,27.4,2018-04-18T16:14:35.314616,237.61481029138278,26.972920693382598
